No.,Time,Comment,Scramble,Date,P.1
61,12.46,,F B2 D' B' D2 B L B U R2 D2 B2 R2 F2 R2 D' L2 F2 D' F,2022-07-20 12:27:16,12.46
62,29.65,,L2 U2 F2 L2 D2 F' L2 B D2 B2 R B2 L B2 U2 B D B U2,2022-07-20 12:27:57,29.65
63,15.28,,D2 U' F2 R2 F2 U' B2 D2 F2 L2 U' B' L' B F' D2 L' R F D F,2022-07-20 12:28:49,15.28
64,18.92,,D2 F2 R2 U2 B2 R2 F' L2 F L2 D2 R D F' U2 F' D' L2 F D2,2022-07-20 18:06:07,18.92
65,18.65,,U F L2 F' L2 B' U2 F L2 F' R2 F2 D R2 D2 F2 R F2 U2 L',2022-07-20 18:06:54,18.65
66,15.83,,F2 L2 D R2 F D L D' F' U2 R2 U2 R2 B' D2 R2 F2 R2 U,2022-07-20 18:07:34,15.83
67,15.96,,R' F' R' F2 L D2 L' F2 L2 D2 R' U2 R2 F2 D B F' D2 U R' F2,2022-07-20 18:08:06,15.96
68,19.32,,F R' U' D2 L F' L' D2 R2 D R2 U' F2 L2 D2 R2 U' D2 F R',2022-07-20 18:08:47,19.32
69,13.30,,L' F' D2 B2 D' R2 U' F2 U B2 U' R2 D2 B2 F' L' B2 L D F2 U',2022-07-20 18:09:26,13.30
70,22.36,,L2 R2 U B2 L2 B2 L2 U2 F2 D' L2 F U' R D2 R' D U' B2 R F,2022-07-20 18:10:09,22.36
71,12.51,,D R' D2 F2 L2 R2 D2 F2 L2 F2 D R2 F' D2 U B F2 D L2,2022-07-20 18:10:58,12.51
72,16.52,,B2 L2 U F2 D B2 F2 D R2 U' B2 R2 B' D' B2 D' R' D2 L' F' R,2022-07-20 18:11:31,16.52
73,14.62,,D' B U L' D' R' D2 R B' L2 U F2 L2 U2 D' F2 D R2 L2 D' L2,2022-07-20 18:12:09,14.62
